searchCat,gcItemNumber,brand,displayName,condition,seoUrl,listPrice,price,storeName,firstDate,priceHistory
ibanez,120361946,Ibanez,Used Ibanez Used Ibanez Prestige Rg5121 Midnight Blue Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-Prestige-Rg5121-Midnight-Blue-Solid-Body-Electric-Guitar-120361946.gc,1299.99,1299.99,"South Springfield, MO","2024-12-14, 17:43","2024-12-14, 17:43, 1299.99"
ibanez,120499245,Ibanez,Used Ibanez Used Ibanez RG5121 PRESTIGE DARK TIDE BLUE FLAT Solid Body Electric Guitar,Great,/Used/Ibanez/RG5121-PRESTIGE-Solid-Body-Electric-Guitar.gc,,1299.99,"Somerville Circle, NJ","2024-12-14, 17:43","2024-12-14, 17:43, 1299.99"
ibanez,120170935,Ibanez,Used Ibanez Used Ibanez S5470 Prestige Series Brown Sunburst Solid Body Electric Guitar,Great,/Used/Ibanez/S5470-Prestige-Series-Solid-Body-Electric-Guitar.gc,1299.99,,"Orlando, FL","2024-12-14, 17:43","2024-12-14, 17:43, "
ibanez,120414993,Ibanez,Used Ibanez Used Ibanez AZ2204NW Prestige METALIC BLUE Solid Body Electric Guitar,Good,/Used/Ibanez/AZ2204NW-Prestige-Solid-Body-Electric-Guitar-120414993.gc,1349.99,1349.99,"Fountain Valley, CA","2024-12-14, 17:43","2024-12-14, 17:43, 1349.99"
ibanez,119837349,Ibanez,Used Ibanez Used Ibanez PRESTIGE 3 COLOR BURST Solid Body Electric Guitar,Excellent,/Used/Ibanez/PRESTIGE-Solid-Body-Electric-Guitar-119837349.gc,1499.99,1349.99,"Beaverton, OR","2024-12-14, 17:43","2024-12-14, 17:43, 1349.99"
ibanez,120374301,Ibanez,Used Ibanez Used Ibanez Prestige Series Solid Body Electric Guitar,Good,/Used/Ibanez/Prestige-Series-Solid-Body-Electric-Guitar.gc,1399.99,1399.99,"Canton, MI","2024-12-14, 17:43","2024-12-14, 17:43, 1399.99"
ibanez,120616160,Ibanez,Used Ibanez Used Ibanez S6570SK Prestige Series Sunset Burst Solid Body Electric Guitar,Excellent,/Used/Ibanez/Used-Ibanez-S6570SK-Prestige-Series-Sunset-Burst-Solid-Body-Electric-Guitar.gc,1449.99,1449.99,"Lincoln, NE","2024-12-14, 17:43","2024-12-14, 17:43, 1449.99"
ibanez,120505689,Ibanez,Used Ibanez Used Ibanez AZ2204NW-MGR Prestige Mint Green Solid Body Electric Guitar,Good,/Used/Stadium/Used-Ibanez-AZ2204NW-MGR-Prestige-Mint-Green-Solid-Body-Electric-Guitar.gc,1449.99,1449.99,"Boise, ID","2024-12-14, 17:43","2024-12-14, 17:43, 1449.99"
ibanez,120421455,Ibanez,Used Ibanez Used Ibanez RGR5221 RG Prestige Flourescent Orange Solid Body Electric Guitar,Great,/Used/Ibanez/RGR5221-RG-Prestige-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Denver, CO","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120352914,Ibanez,Vintage Ibanez Vintage 1978 Ibanez AR2619 Prestige Artist Series Natural Solid Body Electric Guitar,Great,/Used/Ibanez/Vintage-1978-AR2619-Prestige-Artist-Series-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Gilroy, CA","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120393215,Ibanez,Used Ibanez Used Ibanez Prestige AZ2202 Blue Solid Body Electric Guitar,Great,/Used/Ibanez/Prestige-AZ2202-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Block at Orange, CA","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,119931580,Ibanez,Used Ibanez Used Ibanez RGD3127 PRESTIGE ROADSTER ORANGE Solid Body Electric Guitar,Great,/Used/Ibanez/RGD3127-PRESTIGE-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Harrisburg, PA","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120364130,Ibanez,Used Ibanez Used 2021 Ibanez PRESTIGE RG5121 Burgundy METALLIC Solid Body Electric Guitar,Great,/Used/Ibanez/2021-PRESTIGE-RG5121-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Commack, NY","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120292724,Ibanez,Used Ibanez Used Ibanez PRESTIGE AZS2209B Black Solid Body Electric Guitar,Great,/Used/Ibanez/PRESTIGE-AZS2209B-Solid-Body-Electric-Guitar.gc,1599.99,1499.99,"Cedar Rapids, IA","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120531415,Ibanez,Used Ibanez Used Ibanez AZ2204B Prestige Black Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-AZ2204B-Prestige-Black-Solid-Body-Electric-Guitar.gc,1499.99,1499.99,"Mesa, AZ","2024-12-14, 17:43","2024-12-14, 17:43, 1499.99"
ibanez,120177314,Ibanez,Used Ibanez Used 2022 Ibanez Prestige AZS2000 Black Solid Body Electric Guitar,Great,/Used/Ibanez/2022-Prestige-AZS2000-Solid-Body-Electric-Guitar.gc,1699.99,,"Colorado Springs, CO","2024-12-14, 17:43","2024-12-14, 17:43, "
ibanez,120378535,Ibanez,Used Ibanez Used 2023 Ibanez AZ2204NW PRESTIGE Black Solid Body Electric Guitar,Great,/Used/Ibanez/2023-AZ2204NW-PRESTIGE-Solid-Body-Electric-Guitar.gc,1549.99,1549.99,"Seven Corners, VA","2024-12-14, 17:43","2024-12-14, 17:43, 1549.99"
ibanez,120474405,Ibanez,Used Ibanez Used Ibanez PRESTIGE RG1527 Purple Solid Body Electric Guitar,Good,/Used/Ibanez/Used-Ibanez-PRESTIGE-RG1527-Purple-Solid-Body-Electric-Guitar.gc,1599.99,1599.99,"Hallandale, FL","2024-12-14, 17:43","2024-12-14, 17:43, 1599.99"
ibanez,120514898,Ibanez,Used Ibanez Used Ibanez S6570SK Prestige Series Sunset Burst Solid Body Electric Guitar,Excellent,/Used/Ibanez/S6570SK-Prestige-Series-Solid-Body-Electric-Guitar.gc,1599.99,1599.99,"Canton, MI","2024-12-14, 17:43","2024-12-14, 17:43, 1599.99"
ibanez,120245868,Ibanez,Used Ibanez Used Ibanez Az2204b Prestige Black Solid Body Electric Guitar,Excellent,/Used/Ibanez/Az2204b-Prestige-Solid-Body-Electric-Guitar-120245868.gc,1599.99,,"San Antonio, TX","2024-12-14, 17:43","2024-12-14, 17:43, "
ibanez,120266585,Ibanez,Used Ibanez Used Ibanez RG5121 Prestige Series Dark Tide Blue Solid Body Electric Guitar,Good,/Used/Ibanez/RG5121-Prestige-Series-Solid-Body-Electric-Guitar.gc,1599.99,,"Evansville, IN","2024-12-14, 17:43","2024-12-14, 17:43, "
ibanez,120245476,Ibanez,Used Ibanez Used Ibanez Prestige Az2402 Matte Black Solid Body Electric Guitar,Great,/Used/Ibanez/Prestige-Az2402-Solid-Body-Electric-Guitar.gc,1639.99,1639.99,"hua, NH","2024-12-14, 17:43","2024-12-14, 17:43, 1639.99"
ibanez,120540352,Ibanez,Used Ibanez Used Ibanez AZS2200 AZS Prestige Black Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-AZS2200-AZS-Prestige-Black-Solid-Body-Electric-Guitar.gc,1649.99,1649.99,"Wilmington, DE","2024-12-14, 17:43","2024-12-14, 17:43, 1649.99"
ibanez,120176240,Ibanez,Used Ibanez Used Ibanez PRESTIGE 5440 HSS White Solid Body Electric Guitar,Great,/Used/Ibanez/PRESTIGE-5440-HSS-Solid-Body-Electric-Guitar.gc,1649.99,1649.99,"Lynnwood, WA","2024-12-14, 17:43","2024-12-14, 17:43, 1649.99"
ibanez,120601903,Ibanez,Used Ibanez Used Ibanez PRESTIGE AZ24047 Black Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-PRESTIGE-AZ24047-Black-Solid-Body-Electric-Guitar.gc,1669.99,1669.99,"Joliet, IL","2024-12-14, 17:43","2024-12-14, 17:43, 1669.99"
ibanez,120473180,Ibanez,Used Ibanez Used Ibanez Prestige AZ24047 Black Solid Body Electric Guitar,Excellent,/Used/Gretsch-Guitars/Used-Ibanez-Prestige-AZ24047-Black-Solid-Body-Electric-Guitar.gc,1699.99,1699.99,"Boston, MA","2024-12-14, 17:43","2024-12-14, 17:43, 1699.99"
ibanez,119997963,Ibanez,Used Ibanez Used Ibanez Prestige Rg5320 Cosmic Shadow Solid Body Electric Guitar,Great,/Used/Ibanez/Prestige-Rg5320-Solid-Body-Electric-Guitar.gc,1749.99,1749.99,"Orlando, FL","2024-12-14, 17:43","2024-12-14, 17:43, 1749.99"
ibanez,120514305,Ibanez,Used Ibanez Used Ibanez RG5320 Prestige Black And Silver Solid Body Electric Guitar,Great,/Used/Ibanez/RG5320-Prestige-Solid-Body-Electric-Guitar.gc,1749.99,1749.99,"Willowbrook, TX","2024-12-14, 17:43","2024-12-14, 17:43, 1749.99"
ibanez,120514307,Ibanez,Used Ibanez Used Ibanez RG5320 Prestige Black And Silver Solid Body Electric Guitar,Great,/Used/Ibanez/RG5320-Prestige-Solid-Body-Electric-Guitar-120514307.gc,,1749.99,"Willowbrook, TX","2024-12-14, 17:43","2024-12-14, 17:43, 1749.99"
ibanez,120505482,Ibanez,Used Ibanez Used Ibanez Prestige Az24027 TRI BURST FADE Solid Body Electric Guitar,Excellent,/Used/Ibanez/Prestige-Az24027-Solid-Body-Electric-Guitar-120505482.gc,1799.99,1799.99,"Canton, MI","2024-12-14, 17:43","2024-12-14, 17:43, 1799.99"
ibanez,120300077,Ibanez,Used Ibanez Used Ibanez AZ2402 PRESTIGE TRI-FADE BURST Solid Body Electric Guitar,Excellent,/Used/Ibanez/AZ2402-PRESTIGE-Solid-Body-Electric-Guitar-120300077.gc,,1799.99,". Fort Worth, TX","2024-12-14, 17:43","2024-12-14, 17:43, 1799.99"
ibanez,120510879,Ibanez,Used Ibanez Used Ibanez RG5320-CSW Prestige Marble Black Solid Body Electric Guitar,Great,/Used/Ibanez/Used-Ibanez-RG5320-CSW-Prestige-Marble-Black-Solid-Body-Electric-Guitar.gc,1799.99,1799.99,"Greenville, SC","2024-12-14, 17:43","2024-12-14, 17:43, 1799.99"
ibanez,120528044,Ibanez,Used Ibanez Used Ibanez PRESTIGE RG5170B Black Solid Body Electric Guitar,Good,/Used/Arion/Used-Ibanez-PRESTIGE-RG5170B-Black-Solid-Body-Electric-Guitar.gc,,1849.99,"Portsmouth, NH","2024-12-14, 17:43","2024-12-14, 17:43, 1849.99"
ibanez,120253367,Ibanez,Used Ibanez Used Ibanez AZ2204NW Prestige Dark Tide Blue Solid Body Electric Guitar,Excellent,/Used/Ibanez/AZ2204NW-Prestige-Solid-Body-Electric-Guitar.gc,,1849.99,"West Springfield, MA","2024-12-14, 17:43","2024-12-14, 17:43, 1849.99"
ibanez,120268532,Ibanez,Used Ibanez Used Ibanez AF 2000 Prestige Tobacco Sunburst Hollow Body Electric Guitar,Excellent,/Used/Ibanez/Used-Ibanez-AF-2000-Prestige-Tobacco-Sunburst-Hollow-Body-Electric-Guitar.gc,1999.99,1899.99,"Queens, NY","2024-12-14, 17:43","2024-12-14, 17:43, 1899.99"
ibanez,119872843,Ibanez,Used Ibanez Used Ibanez Prestige AZ2407F Sodalite Solid Body Electric Guitar,Excellent,/Used/Ibanez/Prestige-AZ2407F-Solid-Body-Electric-Guitar.gc,2199.99,1979.99,"Orlando, FL","2024-12-14, 17:43","2024-12-14, 17:43, 1979.99"
ibanez,120502836,Ibanez,Used Ibanez Used Ibanez AZ2407F Prestige Sodalite Solid Body Electric Guitar,Great,/Used/Ibanez/AZ2407F-Prestige-Solid-Body-Electric-Guitar.gc,2149.99,2149.99,"Canton, MI","2024-12-14, 17:43","2024-12-14, 17:43, 2149.99"
